del,id,tweet,subtask_a,subtask_b,subtask_c,cleaned_tweet
0,86426,@USER She should ask a few native Americans what their take on this is.,OFF,UNT,,ask native americans take
1,90194,@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,OFF,TIN,IND,home drunk url
2,16820,Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT,NOT,,,amazon investigating chinese employees selling internal data third party sellers looking edge competitive marketplace url
3,62688,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",OFF,UNT,,someone vetaken piece shit volcano
4,43605,@USER @USER Obama wanted liberals &amp; illegals to move into red states,NOT,,,obama wanted liberals illegals move red states
5,97670,@USER Liberals are all Kookoo !!!,OFF,TIN,OTH,liberals kookoo
6,77444,@USER @USER Oh noes! Tough shit.,OFF,UNT,,noes tough shit
7,52415,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,OFF,TIN,GRP,literally talking lol mass shootings like set ups propaganda used divide major issues like gun control terrorism
8,45157,@USER Buy more icecream!!!,NOT,,,buy icecream
9,13384,@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,OFF,TIN,IND,canada need another cuck already enough king great country
10,82776,@USER @USER @USER It’s not my fault you support gun control,NOT,,,fault support gun control
11,42992,@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,NOT,,,difference one men admitted groping year old girl years ago going scj url
12,28414,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,OFF,TIN,IND,lying corrupt traitor nobody wants hear anymore lies url
13,54920,@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!,NOT,,,scare every american playing hockey warped puck
14,56392,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.,NOT,,,like soda like like boarders lot ice
15,86735,@USER you are also the king of taste,NOT,,,also king taste
16,95686,#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL,NOT,,,sing like one listening ♥ ️ love like never hurt ✔ ️ vote gop one watching listen liberals dirt url
17,71446,"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist""",NOT,,,time right house respond concerns canadians four five canadians support stronger gun control good reason
18,23958,@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂,NOT,,,besides jax mom maybe ope hands favorite like good person show
19,28195,@USER @USER @USER gun control! That is all these kids are asking for!,OFF,TIN,OTH,gun control kids asking
20,56117,@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL,OFF,TIN,IND,lol throwing bullshit flag nonsense url
21,67757,@USER @USER You are correct.,NOT,,,correct
22,12681,@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?,OFF,TIN,GRP,kind like conservatives wanna associate everyone left communist antifa members
23,82904,@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,OFF,TIN,GRP,fuck going people men room women room pick one stick
24,63236,@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,NOT,,,willie fan since born love holding rally beto exactly fans furious could give specifics url
25,77665,@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,OFF,TIN,IND,tbh days like people general connect people days annoyance
26,83484,"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising""",NOT,,,south korean official leaders discuss specific denuke measures pyongyang url
27,74932,@USER @USER You can tell he is a hooper too,NOT,,,tell hooper
28,91252,@USER I feel like he is better chasing the title,NOT,,,feel like better chasing title
